Wall time,Step,Value
1713345978.4306297,91200,30.544309616088867
1713346007.983337,91300,32.65797424316406
1713346037.4753683,91400,32.038387298583984
1713346096.3788857,91600,30.861957550048828
1713346125.9942746,91700,33.73553466796875
1713346155.4888415,91800,33.50763702392578
1713346243.9709773,92100,32.91897964477539
1713346273.5667694,92200,33.93212127685547
1713346303.0437937,92300,32.437068939208984
1713346332.5080218,92400,31.259140014648438
1713346391.5015776,92600,30.493793487548828
1713346568.2883832,93200,33.89125061035156
1713346597.755876,93300,32.414920806884766
1713346627.2871208,93400,32.651702880859375
1713346686.4209569,93600,33.842716217041016
1713346804.6189578,94000,33.743743896484375
1713346893.042534,94300,34.890342712402344
1713346981.6904778,94600,32.853111267089844
1713347070.3072855,94900,31.024456024169922
1713347100.1642752,95000,33.81940460205078
1713347158.9821868,95200,28.300268173217773
1713347188.652048,95300,32.52853012084961
1713347218.128099,95400,34.944671630859375
1713347247.5735812,95500,34.24215316772461
1713347306.5755417,95700,34.829410552978516
1713347336.1524918,95800,32.16961669921875
1713347365.6580615,95900,33.169639587402344
1713347395.1326437,96000,33.90435028076172
1713347424.6360304,96100,34.776397705078125
1713347454.2678602,96200,33.6370735168457
1713347483.7984471,96300,33.319801330566406
1713347513.2402928,96400,33.398250579833984
1713347542.6671107,96500,31.575611114501953
1713347601.6130266,96700,34.37846374511719
1713347631.006436,96800,30.40866470336914
1713347689.9806454,97000,30.106191635131836
1713347749.0632758,97200,29.49274444580078
1713347778.5957491,97300,30.778972625732422
1713347837.6525474,97500,32.99048614501953
1713347896.8363883,97700,30.319732666015625
1713347926.3592343,97800,31.60952377319336
1713347955.8719084,97900,34.1297607421875
1713347985.4852524,98000,33.89445495605469
1713348073.9877005,98300,32.844505310058594
1713348103.4594903,98400,32.31749725341797
1713348133.0546076,98500,30.936477661132812
1713348162.4439764,98600,33.5527229309082
1713348221.2289255,98800,33.912044525146484
1713348250.8544064,98900,32.231632232666016
1713348486.7155554,99700,32.91221618652344
1713348575.8692203,100000,32.0993766784668
1713348605.4517412,100100,31.12189292907715
1713348664.4953966,100300,34.58078384399414
1713348693.9211383,100400,32.737701416015625
1713348723.3374262,100500,33.73073196411133
1713348752.819963,100600,33.63470458984375
1713348841.1902356,100900,30.268104553222656
1713348870.706263,101000,33.168922424316406
1713348929.724997,101200,35.4039421081543
1713348959.2158206,101300,33.48440933227539
1713348988.7670026,101400,33.72608947753906
1713349018.2678442,101500,29.18606948852539
1713349106.9489887,101800,32.707706451416016
1713349343.1718893,102600,34.27682113647461
1713349372.6482978,102700,32.765281677246094
1713349402.134608,102800,32.31562805175781
1713349461.26794,103000,33.417442321777344
1713349520.254738,103200,29.044435501098633
1713349549.765313,103300,33.61073303222656
1713349579.3931313,103400,31.722599029541016
1713349638.1501875,103600,34.96873474121094
1713349667.5421278,103700,32.956336975097656
1713349697.0314982,103800,34.19591522216797
1713349726.5826712,103900,33.440696716308594
1713349756.0825403,104000,32.29352569580078
1713349844.6462266,104300,28.429115295410156
1713349874.133888,104400,34.44151306152344
1713349903.621725,104500,33.94208908081055
1713350051.283546,105000,34.146484375
1713350110.2986865,105200,32.365272521972656
1713350139.8500433,105300,33.57370376586914
1713350198.889174,105500,28.525503158569336
1713350228.3798695,105600,32.23173904418945
1713350287.5169625,105800,33.03289031982422
1713350464.5104475,106400,33.70096206665039
1713350493.9952233,106500,32.43045425415039
1713350553.075475,106700,32.69235610961914
1713350582.5944726,106800,27.877742767333984
1713350612.0872836,106900,30.007123947143555
1713350730.2457974,107300,32.9982795715332
1713350759.7065537,107400,32.88489532470703
1713350789.3425977,107500,34.290748596191406
1713350818.8286672,107600,32.323936462402344
1713350848.3341317,107700,28.3785343170166
1713350907.4492626,107900,31.79509735107422
1713350966.3403227,108100,33.48368453979492
1713350995.8028538,108200,34.54942321777344
1713351025.31384,108300,33.195289611816406
1713351054.9087775,108400,33.86501693725586
1713351084.3981462,108500,29.072940826416016
1713351113.905454,108600,33.41127014160156
1713351143.415729,108700,34.52086639404297
1713351261.3816285,109100,29.048059463500977
1713351320.4534364,109300,32.72312545776367
1713351349.964755,109400,32.835914611816406
1713351527.0726423,110000,32.633026123046875
1713351586.1154983,110200,33.726402282714844
1713351645.0924506,110400,33.772560119628906
1713351674.5705168,110500,32.35121154785156
1713351704.214064,110600,32.798431396484375
1713351763.1447651,110800,33.99003219604492
1713351851.6871,111100,32.091983795166016
1713351881.2060795,111200,33.75983810424805
1713351969.852257,111500,33.531185150146484
1713352028.7435298,111700,31.39601707458496
1713352117.3373954,112000,34.67924499511719
1713352205.796787,112300,32.28196716308594
1713352235.4064696,112400,27.797931671142578
1713352294.4363985,112600,30.946979522705078
1713352323.9426882,112700,32.70426940917969
1713352353.405197,112800,34.60955047607422
1713352383.0132575,112900,34.21076965332031
1713352412.5280852,113000,33.43147659301758
1713352441.9391608,113100,33.27861404418945
1713352471.3614802,113200,32.065093994140625
1713352530.4422455,113400,33.97499465942383
1713352559.9646099,113500,33.664207458496094
1713352589.4238443,113600,32.3935432434082
1713352677.7527432,113900,31.211090087890625
1713352707.257353,114000,31.398311614990234
1713352766.3812315,114200,34.0533332824707
1713353002.3784149,115000,30.334196090698242
1713353032.0368536,115100,29.837038040161133
1713353061.5354302,115200,33.932804107666016
1713353091.0245602,115300,32.79941177368164
1713353120.5469248,115400,28.4656982421875
1713353179.6170807,115600,32.69900894165039
1713353209.1511805,115700,31.134376525878906
1713353238.630106,115800,31.517370223999023
1713353268.1487236,115900,34.206085205078125
1713353327.1730833,116100,34.17982864379883
1713353356.7125187,116200,36.520263671875
1713353386.2235417,116300,33.123390197753906
1713353445.2506292,116500,34.06324768066406
1713353474.7301347,116600,34.40242385864258
1713353533.6451113,116800,32.80613327026367
1713353829.1936007,117800,33.442413330078125
1713353917.7516758,118100,32.96265411376953
1713353947.192339,118200,34.96181869506836
1713353976.8232012,118300,33.20694351196289
1713354006.3497012,118400,32.776344299316406
1713354065.3651602,118600,29.225078582763672
1713354094.9924762,118700,31.777381896972656
1713354124.4981985,118800,34.132442474365234
1713354183.496071,119000,34.680057525634766
1713354272.0594714,119300,27.054676055908203
1713354301.5573866,119400,30.507762908935547
1713354331.046115,119500,33.834190368652344
1713354360.6962638,119600,33.29353713989258
1713354390.2389276,119700,33.9150505065918
1713354419.7484252,119800,32.64790344238281
1713354449.2531013,119900,31.786407470703125
1713354478.7519295,120000,34.58089828491211
1713354537.8883708,120200,31.41584014892578
1713354596.959491,120400,33.80107498168945
1713354626.622397,120500,34.49700164794922
1713354685.6635222,120700,34.245155334472656
1713354744.6529803,120900,35.88957977294922
1713354803.7045865,121100,33.928409576416016
1713354833.2259145,121200,34.10181427001953
1713354862.7275968,121300,32.186710357666016
1713354892.3217967,121400,33.71658706665039
1713354921.7330756,121500,32.01578140258789
1713354951.2224865,121600,34.626747131347656
1713355069.2023764,122000,33.26749801635742
1713355216.7940118,122500,32.228172302246094
1713355246.2709517,122600,34.61064147949219
1713355305.396133,122800,33.350948333740234
1713355334.9156396,122900,33.36949920654297
1713355364.4360251,123000,32.132781982421875
1713355453.0859454,123300,34.517208099365234
1713355482.5786383,123400,33.71637725830078
1713355511.9540656,123500,32.24241256713867
1713355571.058862,123700,34.64982604980469
1713355630.026345,123900,29.74341583251953
1713355659.5161939,124000,33.245140075683594
1713355748.0397956,124300,31.175071716308594
1713355807.077993,124500,34.99770736694336
1713355866.2033396,124700,32.028411865234375
1713355895.7654667,124800,28.7869815826416
1713355955.5720115,125000,34.757301330566406
1713355985.0783868,125100,34.029422760009766
1713356073.5406606,125400,31.48224639892578
1713356103.1405237,125500,32.64076614379883
1713356132.6714375,125600,33.716224670410156
1713356191.7127438,125800,30.04131507873535
1713356221.310882,125900,34.66130828857422
1713356250.7793062,126000,35.446205139160156
1713356309.7801323,126200,33.69652557373047
